EXEMPLE DATE DE INTRARE PENTRU NESATISFIABILITATE:

--------------------------------------------------

p cnf 5 50
-115 -28 -108 0
-121 -60 47 0
-56 -63 72 0
120 -51 -71 0
-75 -29 -42 0
37 64 24 0
13 29 80 0
104 74 -113 0
86 -57 -10 0
111 68 -24 0
24 -97 -36 0
68 -4 -96 0
74 -42 -62 0
22 -52 56 0
27 -70 115 0
22 121 -57 0
111 -16 -95 0
82 -120 20 0
-40 -13 -74 0
97 41 111 0
-43 8 -58 0
-99 35 85 0
26 125 -32 0
63 57 -4 0
-7 -99 15 0
-28 38 -34 0
-29 110 119 0
25 -78 36 0
48 -60 -111 0
26 -78 -87 0
-68 97 119 0
60 -85 116 0
-89 97 -120 0
54 75 -51 0
-27 -26 74 0
-70 -9 116 0
69 -45 -7 0
-101 62 -50 0
87 115 27 0
-9 55 -53 0
-101 112 -4 0
13 119 34 0
98 -27 68 0
100 -84 119 0
-28 105 -77 0
-75 38 106 0
-67 17 -24 0
106 8 -102 0
52 4 57 0
67 -32 -6 0
-12 62 -106 0
23 81 1 0
-121 -37 -44 0
71 11 -77 0
29 123 -113 0
-102 27 37 0
-67 -42 7 0
103 83 99 0
94 125 -69 0
-1 -29 122 0
-88 -40 39 0
50 63 99 0
-119 108 -18 0
-25 97 -72 0
-92 17 101 0
100 -93 -79 0
70 -16 13 0
-104 66 1 0
69 58 -101 0
87 -117 10 0
102 -55 -107 0
4 13 89 0
34 35 102 0
38 -99 -67 0
6 75 83 0
29 113 93 0
82 46 -48 0
80 96 12 0
65 43 16 0
98 -62 -79 0
93 -104 -78 0
94 -70 -41 0
119 -69 -74 0
-49 -65 120 0
68 -43 112 0
-111 -65 42 0
-58 -94 -99 0
76 -104 32 0
-102 -32 96 0
22 38 85 0
-71 -44 -122 0
-17 40 -90 0
-78 -89 52 0
-15 88 68 0
-27 -81 76 0
43 36 53 0
-35 39 -74 0
-73 -106 50 0
-35 -104 125 0
-15 -115 -90 0
18 15 27 0
-92 -75 -11 0
38 83 22 0
71 -25 -58 0
62 -102 -7 0
125 95 -27 0
-117 -111 -98 0
120 -46 92 0
102 -116 -83 0
-85 80 -81 0
111 1 -65 0
-101 -18 86 0
-18 95 94 0
-9 103 51 0
-41 -86 109 0
61 -58 16 0
101 -45 60 0
-111 -11 5 0
-14 -4 -108 0
-93 10 70 0
-91 -66 75 0
-22 -43 64 0
-116 90 68 0
-125 -58 66 0
92 90 45 0
53 -6 116 0
-21 -8 -99 0
-16 -79 -43 0
-20 72 18 0
121 20 103 0
-90 -109 23 0
-12 -6 -16 0
-64 -106 57 0
-67 84 76 0
-98 -39 -24 0
-94 -44 64 0
125 -11 55 0
118 60 -125 0
53 -107 -22 0
8 -38 104 0
111 -83 -101 0
99 -73 -109 0
47 81 -39 0
110 57 61 0
71 -67 39 0
-107 84 110 0
57 107 -6 0
20 -56 49 0
-13 -87 110 0
-74 -39 -112 0
-15 70 44 0
-58 -84 33 0
-31 -18 -98 0
-6 89 37 0
35 -110 43 0
105 -112 -76 0
-75 -44 61 0
-25 -12 78 0
-72 -96 117 0
112 121 -12 0
-34 121 -96 0
87 -94 -125 0
82 -101 -117 0
62 44 52 0
-81 13 8 0
76 75 20 0
3 21 -6 0
-108 125 57 0
-55 96 -73 0
119 -104 111 0
25 -22 102 0
-81 -71 -56 0
-44 55 99 0
-4 -83 103 0
49 57 106 0
61 -82 73 0
73 81 87 0
-102 86 -90 0
82 64 76 0
60 -64 70 0
92 -34 -84 0
56 19 -39 0
51 -123 -41 0
-8 -29 41 0
97 -23 -118 0
44 -29 -124 0
-84 124 -88 0
-78 -66 107 0
95 89 83 0
64 19 69 0
22 -103 -35 0
90 63 -101 0
36 12 57 0
72 -99 101 0
75 -47 -40 0
24 125 78 0
36 109 120 0
3 -72 -66 0
71 -35 45 0
-68 13 74 0
82 -53 -51 0
-90 21 -53 0
-13 -36 -35 0
-25 -39 -33 0
97 26 108 0
97 -90 64 0
92 87 -70 0
108 59 -13 0
15 -36 -20 0
-17 -76 5 0
-11 -93 -101 0
-123 -81 -61 0
46 -83 40 0
39 115 -87 0
37 54 18 0
53 63 -106 0
2 -10 51 0
-43 123 -108 0
-8 95 -73 0
36 -64 -38 0
68 31 28 0
-18 -61 49 0
-94 -39 125 0
-35 -3 24 0
91 8 -115 0
-92 4 124 0
-34 69 -118 0
-84 106 28 0
13 -92 -26 0
-88 39 -6 0
%
0

--------------------------------------------------

c This Formular is generated by mcnf
c
c    horn? no 
c    forced? no 
c    mixed sat? no 
c    clause length = 3 
c
p cnf 175  753 
 18 -96 -113 0
47 -134 125 0
168 130 81 0
-21 58 8 0
124 90 93 0
-34 -28 -173 0
121 135 106 0
-91 -21 -7 0
40 119 -150 0
-63 5 -82 0
58 47 119 0
-27 139 167 0
10 -126 -40 0
109 161 -81 0
-75 95 -143 0
72 132 28 0
47 -38 8 0
-58 4 -168 0
-60 128 -100 0
104 -110 -52 0
51 162 -83 0
-123 49 -132 0
-173 146 -130 0
104 -128 -101 0
159 -22 -70 0
161 143 -146 0
-163 -169 -22 0
71 -123 -79 0
-174 41 99 0
-60 52 -39 0
115 -73 -99 0
58 129 -139 0
-13 -145 -36 0
-62 -168 14 0
4 -153 133 0
-174 -47 117 0
67 -14 -37 0
-119 105 80 0
-128 82 -67 0
48 -72 136 0
-50 112 115 0
-74 -101 85 0
-45 75 -107 0
-23 -8 -34 0
73 21 -173 0
102 76 47 0
112 140 -6 0
-23 120 -37 0
-80 91 98 0
39 -77 -93 0
146 37 18 0
-99 13 -49 0
-65 56 -67 0
-17 89 51 0
-12 -65 132 0
47 -72 103 0
148 -12 18 0
144 -6 -107 0
170 124 29 0
101 74 119 0
124 -49 116 0
56 -86 -41 0
124 -75 -162 0
171 -105 -42 0
78 -75 3 0
66 -80 -53 0
35 11 75 0
58 33 81 0
138 -83 -120 0
-108 9 -170 0
-115 -97 -32 0
158 138 173 0
-64 -96 114 0
-160 -102 108 0
25 -38 48 0
146 89 -175 0
-164 -63 -64 0
67 -9 -23 0
-30 138 89 0
2 -93 57 0
-127 83 119 0
-53 73 87 0
44 -124 41 0
-53 158 -142 0
-122 142 42 0
122 161 16 0
126 -143 -68 0
-149 24 2 0
85 26 21 0
-152 -42 -48 0
-94 107 -135 0
116 -144 -125 0
-119 142 -132 0
175 154 -25 0
25 -161 141 0
-17 50 18 0
-150 -157 -163 0
-31 108 123 0
162 53 170 0
111 -98 -164 0
163 -11 170 0
25 136 17 0
-168 90 -114 0
-131 64 -45 0
-130 9 39 0
63 73 44 0
-93 -102 165 0
115 106 138 0
-45 -2 103 0
32 81 -11 0
-104 -87 168 0
-1 -62 -173 0
39 -111 41 0
-41 -34 87 0
-145 155 -120 0
76 -153 55 0
-139 -125 86 0
-72 -154 18 0
-24 -21 -41 0
-149 -134 143 0
-62 14 -170 0
140 45 69 0
-132 77 -163 0
156 -38 -164 0
-9 121 110 0
-170 100 -62 0
109 5 13 0
-11 -95 -174 0
-140 -147 -129 0
-170 -64 -41 0
-141 28 -150 0
63 -74 -130 0
76 -139 68 0
-39 89 -148 0
-98 68 155 0
51 -4 110 0
-142 21 77 0
-69 161 -168 0
-137 -98 -29 0
25 -12 170 0
86 25 -37 0
-24 -17 -16 0
-129 -7 -87 0
-62 104 -68 0
19 63 -169 0
47 -153 168 0
-78 -22 -60 0
-19 76 -4 0
-76 -84 -75 0
-125 18 175 0
87 -78 43 0
123 -64 63 0
5 -1 -85 0
154 -6 14 0
-166 99 31 0
-56 130 -140 0
140 -157 -13 0
-36 169 -170 0
51 156 106 0
-78 24 3 0
-171 -71 175 0
-85 -134 17 0
91 -22 -174 0
-10 17 155 0
20 -160 37 0
68 89 -121 0
-101 133 74 0
-123 145 81 0
120 -64 -100 0
23 130 149 0
112 136 146 0
105 142 159 0
-169 165 -123 0
-59 -108 58 0
96 134 157 0
94 -116 -165 0
-149 -50 -141 0
-174 90 150 0
-115 88 126 0
24 167 21 0
35 154 140 0
-24 -17 134 0
-149 -147 -144 0
-141 31 -86 0
-153 51 148 0
-22 -91 13 0
71 -139 72 0
83 101 -16 0
-50 -15 -138 0
-117 83 -41 0
-122 -102 -12 0
14 159 90 0
-130 -95 142 0
77 -20 -30 0
29 96 -43 0
166 -132 -49 0
129 105 -120 0
84 -144 51 0
-65 15 41 0
-54 -82 -116 0
-43 -141 -81 0
-54 -96 -100 0
130 -47 83 0
27 163 34 0
87 135 -169 0
152 99 110 0
-52 69 -173 0
-91 22 -9 0
18 -53 -93 0
-138 31 133 0
101 -34 -112 0
-113 -142 20 0
72 34 -108 0
-10 -49 -12 0
100 63 162 0
72 -119 -77 0
134 91 153 0
98 -111 -172 0
-12 -16 -141 0
-39 2 -83 0
-168 -139 28 0
-134 33 154 0
-1 -156 -166 0
-127 -170 -149 0
-13 147 -90 0
46 61 74 0
93 -19 -47 0
-126 -131 86 0
75 -78 -64 0
136 -8 143 0
161 148 -97 0
-74 139 -1 0
-51 -160 85 0
-31 175 -114 0
90 8 116 0
94 -44 16 0
-172 -1 25 0
127 -172 -43 0
73 163 143 0
120 172 22 0
-103 -148 123 0
4 -160 -50 0
-87 -107 -167 0
97 41 112 0
-79 172 14 0
-5 -159 41 0
2 -106 -13 0
47 -46 101 0
-162 -96 -110 0
-116 -64 158 0
22 -170 -23 0
-92 -124 55 0
98 47 59 0
92 -70 -154 0
-12 108 28 0
34 -83 -12 0
7 -62 82 0
-75 -89 128 0
-15 28 -106 0
-132 65 -29 0
1 -93 -173 0
145 156 31 0
132 116 110 0
120 88 -73 0
147 37 16 0
-91 22 -168 0
57 3 -123 0
109 -11 105 0
-88 -39 -90 0
-112 60 32 0
26 151 -74 0
-160 121 -109 0
96 142 -173 0
-28 97 130 0
-112 -19 -103 0
-22 170 139 0
-27 -172 149 0
-123 25 -148 0
-36 77 -78 0
-34 -131 -4 0
-125 121 -143 0
-117 67 152 0
98 -149 -105 0
-52 -128 55 0
-115 -153 -29 0
91 -64 -73 0
38 95 5 0
95 107 -4 0
2 53 -49 0
-130 121 145 0
111 154 -147 0
-122 -75 44 0
-156 9 -160 0
-81 -35 39 0
-121 46 166 0
-174 -141 32 0
-95 96 143 0
17 28 -65 0
163 92 131 0
72 167 -93 0
-116 81 87 0
41 -146 157 0
-65 -127 56 0
51 -116 159 0
-54 -39 -22 0
92 42 9 0
64 56 -31 0
-72 129 91 0
20 -134 -159 0
33 -19 -165 0
-157 80 -132 0
49 147 -27 0
44 -88 135 0
59 85 -162 0
-95 68 102 0
-130 136 -149 0
168 15 147 0
116 -117 105 0
78 -40 141 0
-2 -20 -82 0
-121 122 -99 0
39 -59 156 0
72 -71 -128 0
58 -48 147 0
-38 114 92 0
82 162 -32 0
-147 -120 -156 0
-138 27 -8 0
-23 -86 -26 0
-67 -146 -76 0
-68 171 104 0
21 -147 130 0
-113 -61 -112 0
-98 -173 -50 0
-86 59 129 0
102 111 39 0
-41 55 -11 0
80 -169 -171 0
156 -37 -144 0
-14 70 20 0
9 157 172 0
-87 53 -85 0
32 -127 136 0
-173 -124 -111 0
-102 -167 164 0
7 142 25 0
-34 100 -89 0
85 53 88 0
119 76 -4 0
-148 -144 137 0
-96 72 30 0
132 9 -155 0
159 -82 27 0
147 -62 85 0
-173 -72 -40 0
-139 80 -42 0
60 134 -135 0
154 17 71 0
-88 16 118 0
-64 -37 -117 0
-73 -135 6 0
65 13 -142 0
14 31 16 0
141 -124 -76 0
128 -10 -153 0
171 -11 108 0
-9 14 -73 0
-150 -52 154 0
-52 102 139 0
68 137 94 0
-18 27 -42 0
10 36 5 0
31 -161 94 0
-25 -28 -156 0
-72 -47 -127 0
22 108 9 0
54 -67 71 0
100 5 67 0
73 39 71 0
-43 97 98 0
-151 -109 121 0
-19 -50 70 0
170 32 49 0
105 -122 -101 0
-52 43 -49 0
-161 -12 69 0
110 -14 115 0
-48 -98 -78 0
159 -90 74 0
36 -141 -116 0
-44 100 -163 0
-3 -141 -173 0
163 -18 23 0
-17 98 97 0
-163 -42 -152 0
80 -170 16 0
51 110 -12 0
-148 -40 -174 0
-3 121 35 0
111 -22 83 0
3 -30 -29 0
65 149 -71 0
58 -170 -162 0
169 -168 36 0
-70 -28 92 0
12 -118 -72 0
1 -25 -142 0
19 159 -157 0
-96 34 140 0
-27 -133 84 0
160 -121 -141 0
50 161 126 0
-5 75 36 0
-133 -175 -109 0
154 -158 129 0
-86 -9 -52 0
17 155 -104 0
37 111 -16 0
156 -16 24 0
-56 129 149 0
28 -140 45 0
-57 -123 19 0
-141 17 166 0
-71 -20 -21 0
-115 -152 -121 0
-124 122 140 0
33 83 -18 0
-107 34 15 0
-103 84 -74 0
116 118 146 0
61 -154 11 0
-96 6 119 0
-112 164 45 0
5 -13 -142 0
73 -76 -88 0
-107 23 97 0
-153 144 -75 0
-107 -19 120 0
-34 150 42 0
145 -125 78 0
-175 99 -62 0
165 -18 -77 0
-20 44 -2 0
169 53 -120 0
-38 23 -122 0
155 -79 38 0
149 163 96 0
34 72 -78 0
-6 30 149 0
122 103 -49 0
7 22 32 0
123 37 19 0
-76 -121 141 0
75 -161 -31 0
-75 -57 23 0
-76 132 -88 0
-138 -124 -12 0
52 67 44 0
19 -120 -10 0
-145 67 -2 0
-57 90 83 0
-119 -160 33 0
-53 18 -91 0
-121 -53 80 0
74 71 -139 0
-27 -120 -68 0
19 -33 74 0
-74 -40 -57 0
124 82 144 0
100 110 140 0
-41 -37 147 0
-22 164 92 0
135 -113 119 0
107 50 162 0
-145 4 -132 0
-137 107 -3 0
167 -61 137 0
-162 -116 113 0
-10 -64 -89 0
-18 109 171 0
-116 -5 168 0
91 104 92 0
-53 -173 -13 0
-29 -111 -33 0
-110 -124 -105 0
-167 -38 -152 0
-16 71 108 0
-1 -24 -18 0
-20 62 137 0
117 -121 -2 0
77 -69 -152 0
128 172 -100 0
76 -47 -122 0
85 59 -128 0
-119 168 89 0
-113 -108 74 0
82 117 51 0
110 -93 -120 0
-166 -69 2 0
-87 59 46 0
5 116 -9 0
133 -112 -114 0
81 -52 49 0
-144 99 100 0
23 -129 -99 0
-144 133 43 0
149 169 -9 0
-43 -83 -3 0
123 77 35 0
88 -69 -30 0
-112 104 -116 0
51 -54 -146 0
10 -9 -55 0
-123 -48 -64 0
-59 7 -4 0
71 -129 -69 0
-163 159 -28 0
-105 52 -2 0
147 -11 148 0
-146 -52 -74 0
113 36 -45 0
155 -35 136 0
175 97 -55 0
101 52 -129 0
141 57 -173 0
-131 -144 174 0
-152 -129 79 0
-115 -134 168 0
112 -60 126 0
12 -98 -94 0
-147 93 145 0
69 -20 -93 0
-120 114 157 0
-50 -132 6 0
-126 -13 137 0
107 -67 4 0
91 52 -9 0
-2 8 154 0
-165 -37 40 0
54 -138 -44 0
120 -4 134 0
-111 -39 120 0
-116 98 -22 0
-128 -27 -138 0
-75 10 -51 0
73 -143 -166 0
59 98 -16 0
17 157 34 0
-141 28 98 0
17 95 63 0
56 -109 52 0
24 137 -40 0
44 159 9 0
-48 -88 3 0
168 27 119 0
-117 -173 -81 0
11 160 82 0
26 -55 -69 0
-115 -10 -40 0
174 154 -117 0
-155 60 -51 0
154 6 -76 0
-55 72 53 0
-29 43 45 0
145 6 15 0
-56 -25 -136 0
101 -145 163 0
162 -53 -76 0
-45 -169 152 0
-106 109 10 0
-22 76 79 0
-138 -108 40 0
130 -96 90 0
-139 -5 50 0
-119 -25 -123 0
7 -166 43 0
156 110 -157 0
-59 14 -11 0
29 -8 150 0
93 66 41 0
-25 52 -51 0
-91 134 -81 0
-169 33 -6 0
171 84 126 0
167 -96 -112 0
-39 138 51 0
-14 -164 33 0
-90 94 -84 0
72 -57 -69 0
-42 -121 -19 0
152 -17 -95 0
-101 120 157 0
-10 129 175 0
-79 -122 117 0
-71 -11 -18 0
-46 -140 -11 0
-133 92 -61 0
21 -60 -53 0
81 57 48 0
-94 99 27 0
-107 59 -154 0
-59 -157 -61 0
-43 -116 -170 0
22 42 30 0
-86 -158 -157 0
-127 -26 54 0
-76 -27 -59 0
72 -14 96 0
40 131 -97 0
-126 112 143 0
-102 -1 88 0
-58 -6 82 0
96 -39 -66 0
-72 145 -130 0
-155 -164 -91 0
-9 23 140 0
151 61 77 0
-109 -98 83 0
-174 11 158 0
108 -160 -9 0
-163 115 -127 0
-23 12 16 0
143 3 116 0
63 -1 66 0
65 60 -55 0
-3 71 -101 0
-85 -45 148 0
118 -111 45 0
113 -49 -47 0
-74 158 -59 0
114 59 37 0
-175 98 103 0
14 140 -8 0
-105 -137 -42 0
150 -39 -117 0
174 -105 57 0
93 -143 167 0
-93 128 154 0
-93 -115 -138 0
94 -64 -141 0
-34 -95 62 0
-159 47 -172 0
-164 160 64 0
-144 -2 -14 0
-34 -54 -168 0
132 123 -9 0
47 -20 10 0
155 -158 -62 0
-117 93 -147 0
59 162 -52 0
15 23 -149 0
79 121 -122 0
55 85 144 0
-97 -27 -41 0
5 120 -151 0
-77 -43 90 0
-13 4 -147 0
61 -131 -79 0
-115 57 -159 0
80 8 63 0
171 148 125 0
111 94 -55 0
-76 -114 86 0
-111 83 -103 0
-38 142 113 0
-8 -18 156 0
8 -38 156 0
-17 -19 -147 0
148 108 22 0
-6 -64 51 0
-127 -172 89 0
-170 137 -54 0
-8 -41 15 0
-94 116 -119 0
24 -21 34 0
146 90 -19 0
-76 -16 -110 0
-125 -173 -140 0
71 -81 94 0
-35 116 -98 0
-78 169 -139 0
-38 32 46 0
116 -20 -1 0
-56 68 -46 0
-39 114 -82 0
81 124 -155 0
156 -123 27 0
29 -54 68 0
169 -14 133 0
5 -26 150 0
72 -68 145 0
47 -92 -4 0
122 -147 -170 0
79 169 -142 0
72 -37 -155 0
67 20 -34 0
-91 118 62 0
35 -137 -151 0
-158 -54 144 0
78 161 -37 0
24 -98 5 0
-27 -49 18 0
93 2 -170 0
43 -14 -24 0
11 -39 -98 0
32 120 52 0
-112 -28 58 0
-163 -33 26 0
-128 -143 70 0
89 165 -70 0
140 -69 -111 0
25 -41 139 0
-106 -157 112 0
13 92 -5 0
114 -156 148 0
-174 -132 78 0
46 172 47 0
89 -9 -23 0
63 152 -78 0
52 173 -126 0
-34 -4 74 0
-118 -159 -42 0
31 -82 -129 0
-40 171 -70 0
87 -115 -126 0
156 -173 135 0
-100 52 57 0
86 -72 132 0
132 -165 -60 0
-156 18 63 0
63 -36 -25 0
-95 -14 10 0
-27 -65 124 0
-47 61 -63 0
-55 -68 12 0
-145 61 103 0
-127 -3 31 0
-13 -6 75 0
-35 -36 -64 0
-90 -21 44 0
-168 -107 104 0
-113 53 -14 0
153 -27 -175 0
-56 -23 -120 0
-34 -10 139 0
128 79 -109 0
-161 57 -134 0
-106 98 -126 0
-39 108 -136 0
79 85 -134 0
-47 172 10 0
101 -30 -71 0
-11 89 -65 0
%
0


